timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot x_rgbd y_rgbd z_rgbd roll_rgbd pitch_rgbd yaw_rgbd
1789257540864 -1.2650 0.9664 0.5549 30.0000 1.3679 107.3192 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257545922 -1.2986 0.9565 0.5557 30.0000 1.3679 109.3215 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257550983 -1.3318 0.9455 0.5565 30.0000 1.3679 111.3237 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257556063 -1.3646 0.9333 0.5574 30.0000 1.3679 113.3260 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257561130 -1.3970 0.9200 0.5582 30.0000 1.3679 115.3281 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257566238 -1.4289 0.9056 0.5590 30.0000 1.3679 117.3304 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257571301 -1.4603 0.8901 0.5599 30.0000 1.3679 119.3326 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257576375 -1.4911 0.8734 0.5607 30.0000 1.3679 121.3349 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257581456 -1.5213 0.8557 0.5615 30.0000 1.3679 123.3370 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257586562 -1.5509 0.8370 0.5624 30.0000 1.3679 125.3392 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257591638 -1.5798 0.8172 0.5632 30.0000 1.3679 127.3415 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257596699 -1.6080 0.7965 0.5640 30.0000 1.3679 129.3437 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257601773 -1.6355 0.7748 0.5649 30.0000 1.3679 131.3460 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257606882 -1.6622 0.7521 0.5657 30.0000 1.3679 133.3481 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257611950 -1.6880 0.7285 0.5665 30.0000 1.3679 135.3504 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257617022 -1.7131 0.7040 0.5674 30.0000 1.3679 137.3526 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257622129 -1.7372 0.6787 0.5682 30.0000 1.3679 139.3549 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257627219 -1.7605 0.6525 0.5690 30.0000 1.3679 141.3570 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257632371 -1.7828 0.6255 0.5699 30.0000 1.3679 143.3593 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257637454 -1.8042 0.5978 0.5707 30.0000 1.3679 145.3615 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257642511 -1.8246 0.5693 0.5715 30.0000 1.3679 147.3637 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257647615 -1.8440 0.5402 0.5724 30.0000 1.3679 149.3660 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257652676 -1.8623 0.5104 0.5732 30.0000 1.3679 151.3681 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257657750 -1.8796 0.4799 0.5740 30.0000 1.3679 153.3704 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257662824 -1.8959 0.4489 0.5749 30.0000 1.3679 155.3726 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257667910 -1.9110 0.4173 0.5757 30.0000 1.3679 157.3749 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257673013 -1.9250 0.3852 0.5766 30.0000 1.3679 159.3771 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257678119 -1.9379 0.3527 0.5774 30.0000 1.3679 161.3793 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257683182 -1.9497 0.3197 0.5782 30.0000 1.3679 163.3815 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257688235 -1.9603 0.2863 0.5791 30.0000 1.3679 165.3838 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257693371 -1.9697 0.2526 0.5799 30.0000 1.3679 167.3860 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257698461 -1.9779 0.2186 0.5807 30.0000 1.3679 169.3883 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257703534 -1.9850 0.1843 0.5816 30.0000 1.3679 171.3904 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257708645 -1.9908 0.1497 0.5824 30.0000 1.3679 173.3926 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257713743 -1.9954 0.1150 0.5832 30.0000 1.3679 175.3949 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257718796 -1.9988 0.0802 0.5841 30.0000 1.3679 177.3971 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
